Fleet_Name,DOT Number,City,State,Drivers,Trucks,Address,Category 
CITY OF ARVADA,534567,ARVADA,CO,127,100,"6161 Olde Wadsworth Blvd, Arvada, CO 80003",Public Works 
WAGNER EQUIPMENT CO,408425,AURORA,CO,423,423,"18000 SMITH ROAD AURORA, CO 80011",Construction Material and Equipment
CHERRY CREEK SCHOOLS,930824,AURORA,CO,414,352,"25001 E BELLEVIEW AVE AURORA, CO 80016",School Transit
CITY OF AURORA,530739,AURORA,CO,299,271,"13625 E ELLSWORTH AVE, AURORA, CO 80012",Public Works
METCO LANDSCAPING INC,1090341,AURORA,CO,234,226,"2200 RIFLE ST AURORA, CO 80011",Landscape and Groundskeeping
SHAMROCK FOODS COMPANY,132048,AURORA,CO,314,214,"22000 E 38TH AVENUE AURORA, CO 80011",Refrigerated Transit
AURORA PUBLIC SCHOOLS,903736,AURORA,CO,142,127,"90 AIRPORT BLVD AURORA, CO 80011",School Transit
VIA MOBILITY SERVICES,1166745,BOULDER,CO,224,196,"2855 N 63RD STREET BOULDER, CO 80301",Rental Services
CU,364146,BOULDER,CO,223,173,"3205 MARINE STREET BOULDER, CO 80303",Public Transit
BOULDER VALLEY SCHOOL DISTRICT RE-2,930850,BOULDER,CO,120,134,"1951 63RD ST BOULDER, CO 80301",School Transit
VIA MOBILITY SERVICES,1166745,BOULDER,CO,200,116,"2855 63rd St, Boulder, CO 80301",Public Transit
G&Z TRANSPORT LLC,2184839,BRIGHTON,CO,140,147,"467 IDA STREET BRIGHTON, CO 80603","Oil, Gas and Utility Services"
SIM TRUCKING INC,2826416,BRIGHTON,CO,100,120,"10990 E 161 AVE, BRIGHTON, CO 80602",Hauling
BALIC TRANSPORT INC,2505109,BRIGHTON,CO,120,120,"10151 E 107TH PLACE, BRIGHTON, CO 80601",Hauling
GREAT SOUTHWESTERN CONSTRUCTION INC,290775,CASTLE ROCK,CO,252,280,"1100 TOPEKA WAY CASTLE ROCK, CO 80104",Landscape and Groundskeeping
TOWN OF CASTLE ROCK ,903786,CASTLE ROCK,CO,82,109,"4175 Castleton Ct, Castle Rock, CO 80109",Public Works 
ORICA USA INC,653559,CENTENNIAL,CO,172,215,"9155 E NICHOLS AVENUE SUITE 400 CENTENNIAL, CO 80112",Hauling
IHC SCOTT INC,188743,CENTENNIAL,CO,75,214,"7135 SOUTH TUCSON WAY CENTENNIAL, CO 80155",Hauling
TERRACARE ASSOCIATES LLC,1880850,CENTENNIAL,CO,733,156,"15603 EAST FREMONT DR STE B CENTENNIAL, CO 80112",Public Works
CITY OF COLORADO SPRINGS,1015079,COLORADO SPRINGS,CO,213,326,"404 W FONTANERO ST COLORADO SPRINGS, CO 80907",Public Works
VECTRUS SYSTEMS CORPORATION,2545646,COLORADO SPRINGS,CO,121,185,"2424 GARDEN OF THE GODS ROAD, COLORADO SPRINGS, CO 80919",Hauling
MOUNTAIN METROPOLITAN TRANSIT,1030051,COLORADO SPRINGS,CO,150,144,"1015 TRANSIT DR COLORADO SPRINGS, CO 80903",Public Transit
GOODWILL OF COLORADO,733591,COLORADO SPRINGS,CO,64,134,"1460 GARDEN OF THE GODS ROAD COLORADO SPRINGS, CO 80907",Hauling
COLORADO SPRINGS SCHOOL DISTRICT 11,1026668,COLORADO SPRINGS,CO,120,130,"5240 GEIGER BLVD, COLORADO SPRINGS, CO 80915",School Transit
El PASO COUNTY,1073635,COLORADO SPRINGS,CO,191,112,"3275 Akers Drive, Colorado Springs, CO 80922",Public Works 
UNITED SITE SERVICES OF NEVADA INC,1152783,COMMERCE CITY,CO,234,409,"6015 EAST 58TH AVE COMMERCE CITY, CO 80022",Waste Management Services
OFFEN PETROLEUM LLC,237345,COMMERCE CITY,CO,287,269,"5100 E 78TH AVE COMMERCE CITY, CO 80022",Hauling
UNITED SITE SERVICES OF COLORADO INC,1186625,COMMERCE CITY,CO,90,147,"6015 E 58TH AVE COMMERCE CITY, CO 80022",Waste Management Services
WASTE CONNECTIONS OF COLORADO INC,834420,DENVER,CO,410,486,"5500 FRANKLIN STREET DENVER, CO 80216",Waste Management Services
NAVAJO EXPRESS INC,202381,DENVER,CO,409,309,"1400 WEST 64TH AVENUE DENVER, CO 80221",Refrigerated Transit
CO TRAN LLC,1861011,DENVER,CO,275,275,"3570 EAST 12TH STREET, DENVER, CO 80206",Landscape and Groundskeeping
U S TRANSPORT INC,1331834,DENVER,CO,185,200,"241 W 56TH AVE DENVER, CO 80216",Hauling
COMCAST,1213846,DENVER,CO,175,194,"8000 EAST ILIFF AVENUE DENVER, CO 80231","Oil, Gas and Utility Services"
READY MIX CONCRETE COMPANY,207118,DENVER,CO,191,191,"2500 EAST BRANNAN WAY DENVER, CO 80229-7029",Construction Material and Equipment
