Pareto_Solution_ID,Total_System_Capacity_kg,Trucks_Covered,Stations_Built,Total_Land_Cost,Pareto_Index
Sol_001,115000,12627,15,10499344.06,1
Sol_003,115000,12627,15,10499344.06,3
Sol_054,115000,12627,15,10499344.06,54
Sol_056,115000,12627,15,10499344.06,56
Sol_057,115000,12627,15,10499344.06,57
Sol_042,115000,12627,15,10499344.06,42
Sol_035,115000,12627,15,10499344.06,35
Sol_059,115000,12627,15,10499344.06,59
Sol_048,115000,12627,15,10499344.06,48
Sol_052,115000,12627,15,10499344.06,52
Sol_033,115000,12627,15,10499344.06,33
Sol_071,115000,12627,15,10499344.06,71
Sol_088,115000,12627,15,10499344.06,88
Sol_098,115000,12627,15,10499344.06,98
Sol_028,125000,14161,16,10848344.06,28
Sol_013,125000,14161,16,10848344.06,13
Sol_070,125000,14161,16,10848344.06,70
Sol_063,125000,14161,16,10848344.06,63
Sol_067,125000,14161,16,10848344.06,67
Sol_078,125000,14161,16,10848344.06,78
Sol_061,125000,14161,16,10848344.06,61
Sol_017,125000,14161,16,10848344.06,17
Sol_039,127000,13545,16,10769344.06,39
Sol_006,127000,13545,16,10769344.06,6
Sol_077,127000,13545,16,10769344.06,77
Sol_087,127000,13545,16,10769344.06,87
Sol_062,127000,13545,16,10769344.06,62
Sol_040,127000,13545,16,10769344.06,40
Sol_007,127000,13545,16,10769344.06,7
Sol_099,127000,13545,16,10769344.06,99
Sol_064,127000,13545,16,10769344.06,64
Sol_090,127000,13545,16,10769344.06,90
Sol_086,132000,14810,17,11118344.06,86
Sol_034,132000,14810,17,11118344.06,34
Sol_091,132000,14810,17,11118344.06,91
Sol_065,132000,14810,17,11118344.06,65
Sol_020,132000,14810,17,11118344.06,20
Sol_009,132000,14810,17,11118344.06,9
Sol_060,135000,14748,16,11174344.06,60
Sol_047,135000,14748,16,11174344.06,47
Sol_037,135000,14748,16,11174344.06,37
Sol_022,135000,14962,16,11621034.450000001,22
Sol_097,135000,14962,16,11621034.450000001,97
Sol_085,135000,14748,16,11174344.06,85
Sol_073,135000,14748,16,11174344.06,73
Sol_083,135000,14748,16,11174344.06,83
Sol_092,135000,14748,16,11174344.06,92
Sol_093,135000,14748,16,11174344.06,93
Sol_080,135000,14748,16,11174344.06,80
Sol_074,135000,14748,16,11174344.06,74
Sol_053,135000,14748,16,11174344.06,53
Sol_025,135000,14748,16,11174344.06,25
Sol_014,135000,14748,16,11174344.06,14
Sol_058,135000,14748,16,11174344.06,58
Sol_051,135000,14748,16,11174344.06,51
Sol_041,135000,14748,16,11174344.06,41
Sol_018,135000,14962,16,11621034.450000001,18
Sol_096,137000,15017,17,11444344.06,96
Sol_089,137000,15017,17,11444344.06,89
Sol_024,137000,15017,17,11444344.06,24
Sol_050,137000,15017,17,11444344.06,50
Sol_005,137000,15017,17,11444344.06,5
Sol_046,137000,15017,17,11444344.06,46
Sol_044,137000,15017,17,11444344.06,44
Sol_031,145000,16282,17,11523344.06,31
Sol_021,145000,16282,17,11523344.06,21
Sol_016,145000,16496,17,11970034.450000001,16
Sol_029,145000,16282,17,11523344.06,29
Sol_019,145000,16496,17,11970034.450000001,19
Sol_045,145000,16282,17,11523344.06,45
Sol_038,145000,16282,17,11523344.06,38
Sol_008,145000,16282,17,11523344.06,8
Sol_094,145000,16496,17,11970034.450000001,94
Sol_084,145000,16282,17,11523344.06,84
Sol_075,145000,16496,17,11970034.450000001,75
Sol_081,145000,16496,17,11970034.450000001,81
Sol_069,145000,16282,17,11523344.06,69
Sol_066,145000,16496,17,11970034.450000001,66
Sol_015,152000,16569,18,12344344.06,15
Sol_049,152000,16569,18,12344344.06,49
Sol_055,152000,16569,18,12344344.06,55
Sol_023,152000,16569,18,12344344.06,23
Sol_068,152000,16569,18,12344344.06,68
Sol_011,155000,16838,17,13104344.06,11
Sol_027,155000,16838,17,13104344.06,27
Sol_036,155000,16838,17,13104344.06,36
Sol_032,155000,16838,17,13104344.06,32
Sol_004,157000,17052,18,13796853.06,4
Sol_082,157000,17052,18,13796853.06,82
Sol_000,157000,17052,18,13796853.06,0
Sol_030,157000,17052,18,13796853.06,30
Sol_076,157000,17052,18,13796853.06,76
Sol_043,157000,17052,18,13796853.06,43
Sol_095,165000,16838,18,12423344.06,95
Sol_010,165000,16838,18,12423344.06,10
Sol_026,165000,16838,18,12423344.06,26
Sol_072,165000,16838,18,12423344.06,72
Sol_079,165000,16838,18,12423344.06,79
Sol_012,167000,17052,19,13115853.06,12
Sol_002,167000,17052,19,13115853.06,2
