Pareto_Solution_ID,Address,Property_URL,City,Acreage,Price,Latitude,Longitude,Daily_Demand_kg,Station_Capacity_kg,Station_Size,Utilization_Rate,Total_Trucks_Served,Fleet_Breakdown,Total_System_Capacity_kg,Total_System_Trucks_Covered,Total_System_Land_Cost,Formatted_Price
Sol_000,17160 W Colfax Ave,https://www.loopnet.com/Listing/17160-W-Colfax-Ave-Golden-CO/29520298/,"Golden, CO 80401",0.63,500000.0,39.722253633534,-105.192465086092,5488.67,10000,L,54.89%,807,ENIVIRONMENTAL LANDWORKS COMPANY INC (115 trucks) | HOLCIM WCR INC (298 trucks) | JEFFCO SCHOOLS (274 trucks) | JEFFERSON COUNTY (120 trucks),105000,11148,6719512.5600000005,"$500,000.00"
Sol_000,3401 S Yosemite St,https://www.loopnet.com/Listing/3401-S-Yosemite-St-Denver-CO/39837277/,"Denver, CO 80231",0.64,675000.0,39.654049416843,-104.88550562639,7298.1900000000005,10000,L,72.98%,1256,COMCAST (194 trucks) | SWINGLE TREE & LANDSCAPE CARE (135 trucks) | CITY LIGHT AND POWER INC (121 trucks) | WHEEL PROS LLC (182 trucks) | CITY OF AURORA (271 trucks) | AURORA PUBLIC SCHOOLS (127 trucks) | METCO LANDSCAPING INC (226 trucks),105000,11148,6719512.5600000005,"$675,000.00"
Sol_000,9190 W 84th Ave,https://www.loopnet.com/Listing/9190-W-84th-Ave-Arvada-CO/38160305/,"Arvada, CO 80005",0.67,499000.0,39.849854027782,-105.100317795342,2457.7,5000,M,49.15%,296,ALPINE MILLWORK COMPANY DBA ROCKY MOUNTAIN RELOAD (141 trucks) | GEOSTABILIZATION INTERNATIONAL LLC (155 trucks),105000,11148,6719512.5600000005,"$499,000.00"
Sol_000,NEC N Fairgrounds Ave,https://www.loopnet.com/Listing/NEC-N-Fairgrounds-Ave-Windsor-CO/29890025/,"Windsor, CO 80528",0.74,483449.0,40.437732372143,-104.982630626628,4243.52,5000,M,84.87%,684,LARIMER COUNTY (131 trucks) | NOVUS AG LLC (444 trucks) | LOVELAND MUNICIPALITY (109 trucks),105000,11148,6719512.5600000005,"$483,449.00"
Sol_000,11958 Lincoln Ave,https://www.loopnet.com/Listing/Lincoln-Ave-Parker-CO/39741118/,"Parker, CO 80138",0.86,495000.0,39.536519536914,-104.76116705724,4937.0,5000,M,98.74%,725,ACCELERATED SERVICES LLC (373 trucks) | CHERRY CREEK SCHOOLS (352 trucks),105000,11148,6719512.5600000005,"$495,000.00"
Sol_000,12015 Irma Dr,https://www.loopnet.com/Listing/12015-Irma-Dr-Northglenn-CO/34662093/,"Northglenn, CO 80241",1.0,1098017.0,39.918832606598,-104.965887826386,11460.82,20000,XL,57.30%,1983,ADAMS 12 FIVE STAR SCHOOLS (182 trucks) | TRI-STATE GENERATION & TRANSMISSION ASSOCIATION INC (321 trucks) | CITY OF THORNTON (208 trucks) | CITY OF THORNTON (174 trucks) | BALIC TRANSPORT INC (120 trucks) | BURNCO COLORADO LLC (146 trucks) | WEST DIRECT OIL (140 trucks) | OFFEN PETROLEUM LLC (269 trucks) | ENVIRONMENTAL DESIGNS LLC (156 trucks) | SIM TRUCKING INC (120 trucks) | G&Z TRANSPORT LLC (147 trucks),105000,11148,6719512.5600000005,"$1,098,017.00"
Sol_000,2120 University Park Blvd,https://www.loopnet.com/Listing/2120-University-Park-Blvd-Colorado-Springs-CO/27680798/,"Colorado Springs, CO 80918",1.02,295000.0,38.910590363159,-104.78892179429,5689.619999999999,10000,L,56.90%,1031,GOODWILL OF COLORADO (134 trucks) | CITY OF COLORADO SPRINGS (326 trucks) | VECTRUS SYSTEMS CORPORATION (185 trucks) | COLORADO SPRINGS SCHOOL DISTRICT 11 (130 trucks) | El PASO COUNTY (112 trucks) | MOUNTAIN METROPOLITAN TRANSIT (144 trucks),105000,11148,6719512.5600000005,"$295,000.00"
Sol_000,7099 S Kenton St,https://www.loopnet.com/Listing/7099-S-Kenton-St-Centennial-CO/6542016/,"Centennial, CO 80112",1.18,976600.0,39.588430849644,-104.861817781283,16997.23,20000,XL,84.99%,2298,HBSCO DANS TRASH AT YOUR DISPOSAL (110 trucks) | BUCKLEY POWDER CO (217 trucks) | IHC SCOTT INC (214 trucks) | ORICA USA INC (215 trucks) | GLOBAL TRANSPORTATION LLC (442 trucks) | CH2M OMI CH2MHILL JACOBS (183 trucks) | AMERICAN FURNITURE WAREHOUSE CO (340 trucks) | TERRACARE ASSOCIATES LLC (156 trucks) | ENTERPRISE RENT-A-CAR NATIONAL RENT A CAR ALAMO RENT A CAR (421 trucks),105000,11148,6719512.5600000005,"$976,600.00"
Sol_000,765 Aspen Ridge Drive Dr,https://www.loopnet.com/Listing/765-Aspen-Ridge-Drive-Dr-Lafayette-CO/32931931/,"Lafayette, CO 80026",1.43,556000.0,40.006898203868,-105.107210150504,5074.7300000000005,10000,L,50.75%,830,BOULDER VALLEY SCHOOL DISTRICT RE-2 (134 trucks) | VIA MOBILITY SERVICES (196 trucks) | VIA MOBILITY SERVICES (116 trucks) | CU (173 trucks) | CITY OF LONGMONT (211 trucks),105000,11148,6719512.5600000005,"$556,000.00"
Sol_000,6109 W 48th Ave,https://www.loopnet.com/Listing/6109-W-48th-Ave-Wheat-Ridge-CO/32583003/,"Wheat Ridge, CO 80033",1.76,1141446.56,39.784078257989,-105.064430676896,8749.11,10000,L,87.49%,1238,CITY OF ARVADA (100 trucks) | SITEWISE LLC (145 trucks) | COMPASS VEHICLE RENTAL INC (170 trucks) | COORS DISTRIBUTING COMPANY MILLER COORS LLC (105 trucks) | COLD FRONT (121 trucks) | NAVAJO EXPRESS INC (309 trucks) | SURESHOT DRILLING LLC ATOZ FIELD SERVICES LLC DRILL TECH LLC PINNACLE DEVELOPMENT INC HDD SPECIALISTS LLC (135 trucks) | COCAL LANDSCAPE SERVICES INC (153 trucks),105000,11148,6719512.5600000005,"$1,141,446.56"
