Pareto_Solution_ID,Total_System_Capacity_kg,Trucks_Covered,Stations_Built,Total_Land_Cost,Pareto_Index
Sol_000,105000,11148,10,6719512.5600000005,0
Sol_001,105000,11148,10,6719512.5600000005,1
Sol_018,105000,11322,10,7423512.5600000005,18
Sol_019,105000,11928,11,7668512.5600000005,19
Sol_043,105000,11928,11,7668512.5600000005,43
Sol_081,105000,11928,11,7668512.5600000005,81
Sol_092,105000,11928,11,7668512.5600000005,92
Sol_090,105000,11148,10,6719512.5600000005,90
Sol_071,107000,12456,12,7998512.5600000005,71
Sol_011,107000,11676,11,7049512.5600000005,11
Sol_044,107000,11676,11,7049512.5600000005,44
Sol_086,107000,11676,11,7049512.5600000005,86
Sol_061,107000,12456,12,7998512.5600000005,61
Sol_033,110000,12565,12,8168512.5600000005,33
Sol_063,110000,12565,12,8168512.5600000005,63
Sol_047,110000,11785,11,7219512.5600000005,47
Sol_091,110000,11959,11,7923512.5600000005,91
Sol_093,110000,11785,11,7219512.5600000005,93
Sol_072,110000,11959,11,7923512.5600000005,72
Sol_052,110000,11785,11,7219512.5600000005,52
Sol_027,110000,11959,11,7923512.5600000005,27
Sol_078,112000,13093,13,8498512.56,78
Sol_083,112000,13089,13,8347512.5600000005,83
Sol_075,112000,13089,13,8347512.5600000005,75
Sol_058,112000,12313,12,7549512.5600000005,58
Sol_036,112000,13093,13,8498512.56,36
Sol_028,112000,12313,12,7549512.5600000005,28
Sol_049,112000,13089,13,8347512.5600000005,49
Sol_097,112000,13093,13,8498512.56,97
Sol_055,115000,12950,11,8923512.56,55
Sol_050,115000,12418,12,7568512.5600000005,50
Sol_048,115000,12776,11,8219512.5600000005,48
Sol_038,115000,12776,11,8219512.5600000005,38
Sol_099,115000,12950,11,8923512.56,99
Sol_089,115000,12776,11,8219512.5600000005,89
Sol_076,115000,12950,11,8923512.56,76
Sol_069,117000,13726,14,8847512.56,69
Sol_037,117000,12946,13,7898512.5600000005,37
Sol_034,117000,13304,12,8549512.56,34
Sol_029,117000,13304,12,8549512.56,29
Sol_062,117000,13726,14,8847512.56,62
Sol_088,117000,13726,14,8847512.56,88
Sol_007,120000,14419,13,9668512.56,7
Sol_009,120000,13813,12,9423512.56,9
Sol_070,120000,13813,12,9423512.56,70
Sol_095,120000,13639,12,8719512.56,95
Sol_084,120000,13639,12,8719512.56,84
Sol_012,120000,13639,12,8719512.56,12
Sol_059,120000,13639,12,8719512.56,59
Sol_045,120000,14419,13,9668512.56,45
Sol_082,122000,14947,14,9998512.56,82
Sol_079,122000,14947,14,9998512.56,79
Sol_006,122000,14947,14,9998512.56,6
Sol_057,122000,14167,13,9049512.56,57
Sol_014,122000,14947,14,9998512.56,14
Sol_008,122000,14167,13,9049512.56,8
Sol_053,123000,14276,14,9429511.56,53
Sol_077,123000,14276,14,9429511.56,77
Sol_054,127000,14313,14,9629512.56,54
Sol_020,127000,15454,15,11797512.56,20
Sol_015,127000,15454,15,11797512.56,15
Sol_046,127000,15336,15,11744155.56,46
Sol_042,127000,15093,15,10347512.56,42
Sol_035,127000,15093,15,10347512.56,35
Sol_073,127000,14313,14,9629512.56,73
Sol_065,127000,15336,15,11744155.56,65
Sol_085,128000,15238,16,11456336.72,85
Sol_096,128000,15238,16,11456336.72,96
Sol_030,128000,15202,16,10727511.56,30
Sol_031,128000,15238,16,11456336.72,31
Sol_056,128000,15202,16,10727511.56,56
Sol_064,128000,15238,16,11456336.72,64
Sol_039,132000,15482,16,12093155.56,39
Sol_032,132000,15843,16,13543155.56,32
Sol_021,132000,15600,16,12146512.56,21
Sol_010,132000,15600,16,12146512.56,10
Sol_040,132000,15843,16,13543155.56,40
Sol_016,133000,15745,17,13255336.72,16
Sol_051,133000,16038,17,15060510.82,51
Sol_022,133000,15627,17,13201979.72,22
Sol_098,133000,15627,17,13201979.72,98
Sol_074,133000,15627,17,13201979.72,74
Sol_067,133000,16038,17,15060510.82,67
Sol_066,133000,15745,17,13255336.72,66
Sol_094,133000,15745,17,13255336.72,94
Sol_041,137000,15989,17,14123155.56,41
Sol_025,137000,15989,17,14123155.56,25
Sol_017,137000,16282,17,15473155.56,17
Sol_024,137000,16282,17,15473155.56,24
Sol_068,138000,16134,18,15000979.72,68
Sol_080,138000,16427,18,16806153.82,80
Sol_060,138000,16283,18,16350979.72,60
Sol_026,138000,16283,18,16350979.72,26
Sol_004,138000,16427,18,16806153.82,4
Sol_023,138000,16134,18,15000979.72,23
Sol_013,138000,16427,18,16806153.82,13
Sol_003,140000,16555,19,18906153.82,3
Sol_005,140000,16555,19,18906153.82,5
Sol_087,140000,16555,19,18906153.82,87
Sol_002,142000,16676,20,25656153.82,2
