Pareto_Solution_ID,Total_System_Capacity_kg,Trucks_Covered,Stations_Built,Total_Land_Cost,Pareto_Index
Sol_000,84000,11131,12,7421491.24,0
Sol_001,84000,11131,12,7421491.24,1
Sol_023,89000,11544,12,8121490.24,23
Sol_021,89000,11864,12,8815670.0,21
Sol_024,89000,11864,12,8815670.0,24
Sol_020,89000,11544,12,8121490.24,20
Sol_022,94000,12277,12,9515669.0,22
Sol_029,94000,12277,12,9515669.0,29
Sol_006,99000,12623,13,7770491.24,6
Sol_005,99000,12623,13,7770491.24,5
Sol_026,100000,13032,14,8270491.24,26
Sol_032,100000,13032,14,8270491.24,32
Sol_037,104000,13242,14,8326491.24,37
Sol_055,104000,13242,14,8326491.24,55
Sol_027,109000,13956,14,8615491.24,27
Sol_025,109000,13397,14,8540491.24,25
Sol_047,109000,13769,13,9864669.0,47
Sol_041,109000,13397,14,8540491.24,41
Sol_046,109000,13769,13,9864669.0,46
Sol_044,109000,14175,13,10745670.0,44
Sol_042,109000,14175,13,10745670.0,42
Sol_048,109000,13204,13,8284509.45,48
Sol_086,109000,13855,13,10051490.24,86
Sol_079,109000,13855,13,10051490.24,79
Sol_091,109000,13204,13,8284509.45,91
Sol_031,114000,14588,13,11445669.0,31
Sol_059,114000,14575,15,9171491.24,59
Sol_013,114000,14575,15,9171491.24,13
Sol_019,114000,13617,13,8984508.450000001,19
Sol_014,119000,14400,14,8633509.45,14
Sol_028,119000,14400,14,8633509.45,28
Sol_030,121000,14988,16,9671491.24,30
Sol_015,121000,14988,16,9671491.24,15
Sol_053,124000,15378,15,10256491.24,53
Sol_043,124000,14813,14,9333508.450000001,43
Sol_081,124000,15378,15,10256491.24,81
Sol_072,124000,14813,14,9333508.450000001,72
Sol_034,124000,15492,14,11094670.0,34
Sol_010,124000,14789,15,9239330.690000001,10
Sol_016,124000,15402,14,10350669.0,16
Sol_083,124000,15402,14,10350669.0,83
Sol_088,124000,14789,15,9239330.690000001,88
Sol_087,126000,14583,15,9183330.690000001,87
Sol_062,129000,15905,14,11794669.0,62
Sol_056,129000,14944,15,9453330.690000001,56
Sol_035,129000,15791,15,10956490.24,35
Sol_045,129000,15202,15,9939329.690000001,45
Sol_038,129000,15905,14,11794669.0,38
Sol_052,129000,15791,15,10956490.24,52
Sol_065,129000,14944,15,9453330.690000001,65
Sol_085,130000,15317,16,9929225.690000001,85
Sol_078,130000,15317,16,9929225.690000001,78
Sol_077,131000,15202,16,9739330.690000001,77
Sol_060,131000,15202,16,9739330.690000001,60
Sol_099,131000,15791,16,10756491.24,99
Sol_076,131000,15596,17,10051490.24,76
Sol_080,134000,15492,15,10613330.69,80
Sol_074,134000,15625,16,10084330.690000001,74
Sol_057,134000,16524,15,12350669.0,57
Sol_051,134000,15625,16,10084330.690000001,51
Sol_049,135000,16319,16,11646385.24,49
Sol_039,135000,16197,18,11140385.24,39
Sol_082,135000,15730,16,10629224.69,82
Sol_069,136000,15357,16,9953330.690000001,69
Sol_071,136000,15419,16,10028330.69,71
Sol_095,136000,15419,16,10028330.69,95
Sol_070,137000,16319,17,11446386.24,70
Sol_036,137000,15730,17,10429225.69,36
Sol_066,137000,16124,18,10741385.24,66
Sol_073,137000,15730,17,10429225.69,73
Sol_058,139000,16038,16,10784329.69,58
Sol_094,139000,16111,16,11169330.69,94
Sol_096,139000,15905,15,11313329.69,96
Sol_075,139000,15905,15,11313329.69,75
Sol_061,139000,16111,16,11169330.69,61
Sol_090,140000,16153,17,10774225.69,90
Sol_004,140000,17052,16,13040564.0,4
Sol_002,140000,17052,16,13040564.0,2
Sol_098,140000,16153,17,10774225.69,98
Sol_040,141000,16038,17,10584330.69,40
Sol_067,141000,16038,17,10584330.69,67
Sol_093,142000,16610,19,11640385.24,93
Sol_054,142000,16610,19,11640385.24,54
Sol_033,144000,16524,16,11869329.69,33
Sol_092,144000,16524,16,11869329.69,92
Sol_089,145000,16566,17,11474224.69,89
Sol_068,145000,16639,18,11673225.69,68
Sol_064,145000,16566,17,11474224.69,64
Sol_097,145000,16639,17,11859225.69,97
Sol_063,145000,16639,17,11859225.69,63
Sol_017,147000,16566,18,11274225.69,17
Sol_084,147000,16566,18,11274225.69,84
Sol_007,150000,17052,17,12559224.69,7
Sol_012,150000,17052,17,12559224.69,12
Sol_008,152000,17052,19,12173225.69,8
Sol_011,152000,17052,19,12173225.69,11
Sol_050,152000,17052,18,12359225.69,50
Sol_018,152000,17052,18,12359225.69,18
Sol_009,153000,16750,20,11970385.24,9
Sol_003,153000,16750,20,11970385.24,3
