Fleet_Name,DOT Number,City,State,Drivers,Trucks,Address,Category,Latitude,Longitude,Daily_Demand
CITY OF ARVADA,534567,ARVADA,CO,127,100,"6161 Olde Wadsworth Blvd, Arvada, CO 80003",Public Works ,39.80840933,-105.08229,232.07
WAGNER EQUIPMENT CO,408425,AURORA,CO,423,423,"18000 SMITH ROAD AURORA, CO 80011",Construction Material and Equipment,39.75289477,-104.7757651,3512.19
CHERRY CREEK SCHOOLS,930824,AURORA,CO,414,352,"25001 E BELLEVIEW AVE AURORA, CO 80016",School Transit,39.62380801,-104.69629,1839.97
CITY OF AURORA,530739,AURORA,CO,299,271,"13625 E ELLSWORTH AVE, AURORA, CO 80012",Public Works,39.71720002,-104.831965,628.91
METCO LANDSCAPING INC,1090341,AURORA,CO,234,226,"2200 RIFLE ST AURORA, CO 80011",Landscape and Groundskeeping,39.74971409,-104.7844055,1876.49
SHAMROCK FOODS COMPANY,132048,AURORA,CO,314,214,"22000 E 38TH AVENUE AURORA, CO 80011",Refrigerated Transit,39.76825469,-104.7303859,1998.73
AURORA PUBLIC SCHOOLS,903736,AURORA,CO,142,127,"90 AIRPORT BLVD AURORA, CO 80011",School Transit,39.71730102,-104.790416,663.85
VIA MOBILITY SERVICES,1166745,BOULDER,CO,224,196,"2855 N 63RD STREET BOULDER, CO 80301",Rental Services,40.02754568,-105.2119077,1185.41
CU,364146,BOULDER,CO,223,173,"3205 MARINE STREET BOULDER, CO 80303",Public Transit,40.01402462,-105.2511369,1615.79
BOULDER VALLEY SCHOOL DISTRICT RE-2,930850,BOULDER,CO,120,134,"1951 63RD ST BOULDER, CO 80301",School Transit,40.02088299,-105.2082615,700.44
VIA MOBILITY SERVICES,1166745,BOULDER,CO,200,116,"2855 63rd St, Boulder, CO 80301",Public Transit,40.02754568,-105.2119077,1083.42
G&Z TRANSPORT LLC,2184839,BRIGHTON,CO,140,147,"467 IDA STREET BRIGHTON, CO 80603","Oil, Gas and Utility Services",40.00349955,-104.8173212,698.54
SIM TRUCKING INC,2826416,BRIGHTON,CO,100,120,"10990 E 161 AVE, BRIGHTON, CO 80602",Hauling,39.98758295,-104.859949,996.36
BALIC TRANSPORT INC,2505109,BRIGHTON,CO,120,120,"10151 E 107TH PLACE, BRIGHTON, CO 80601",Hauling,39.89191639,-104.8693339,996.36
GREAT SOUTHWESTERN CONSTRUCTION INC,290775,CASTLE ROCK,CO,252,280,"1100 TOPEKA WAY CASTLE ROCK, CO 80104",Landscape and Groundskeeping,39.37272659,-104.8739793,2324.85
TOWN OF CASTLE ROCK ,903786,CASTLE ROCK,CO,82,109,"4175 Castleton Ct, Castle Rock, CO 80109",Public Works ,39.40370485,-104.8673579,252.96
ORICA USA INC,653559,CENTENNIAL,CO,172,215,"9155 E NICHOLS AVENUE SUITE 400 CENTENNIAL, CO 80112",Hauling,39.572594,-104.881968,1785.15
IHC SCOTT INC,188743,CENTENNIAL,CO,75,214,"7135 SOUTH TUCSON WAY CENTENNIAL, CO 80155",Hauling,39.58698799,-104.836228,1776.85
